date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:12	196/196	---MCZ	200	added ('OK')	text/plain	etag:W/%22585bbe52-2a7%22	https://consulting.stylemixthemes.com/robots.txt		(from )
15:40:12	320258/320258	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Apr%202022%2006:06:18%20GMT	https://consulting.stylemixthemes.com/atlanta/	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/index.html	(from )
15:40:14	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2013%20Apr%202022%2010:10:15%20GMT	https://consulting.stylemixthemes.com/atlanta/xmlrpc.php	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/xmlrpc.php	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:16	2153/2153	---MCZ	200	added ('OK')	text/css	etag:W/%22621e04c0-869%22	https://consulting.stylemixthemes.com/atlanta/wp-content/cache/autoptimize/51/css/autoptimize_02503bcc1e477e4e8cd700f6605add24.css	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/wp-content/cache/autoptimize/51/css/autoptimize_02503bcc1e477e4e8cd700f6605add24.css	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:17	2055223/2055223	---MCZ	200	added ('OK')	text/css	etag:W/%22621e04c0-1f5c37%22	https://consulting.stylemixthemes.com/atlanta/wp-content/cache/autoptimize/51/css/autoptimize_7b8b129019dde76e06a58f89d202cd80.css	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/wp-content/cache/autoptimize/51/css/autoptimize_7b8b129019dde76e06a58f89d202cd80.css	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:18	7021/7021	---MCZ	200	added ('OK')	text/css	etag:W/%22621e04c0-1b6d%22	https://consulting.stylemixthemes.com/atlanta/wp-content/cache/autoptimize/51/css/autoptimize_541e2ced151704f4ff1844c6de47ec02.css	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/wp-content/cache/autoptimize/51/css/autoptimize_541e2ced151704f4ff1844c6de47ec02.css	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:19	157365/157365	---M--	200	added ('OK')	image/jpeg	etag:%2261e0635e-266b5%22	https://consulting.stylemixthemes.com/atlanta/wp-content/uploads/sites/51/2022/01/contact_us_bg.jpg	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/wp-content/uploads/sites/51/2022/01/contact_us_bg.jpg	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:19	104742/104742	---M--	200	added ('OK')	image/jpeg	etag:%2261f8fa70-19926%22	https://consulting.stylemixthemes.com/atlanta/wp-content/uploads/sites/51/2022/02/works_bg.jpg	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/wp-content/uploads/sites/51/2022/02/works_bg.jpg	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:20	107767/107767	---M--	200	added ('OK')	image/jpeg	etag:%2261f8fd1c-1a4f7%22	https://consulting.stylemixthemes.com/atlanta/wp-content/uploads/sites/51/2022/02/webinars_bg.jpg	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/wp-content/uploads/sites/51/2022/02/webinars_bg.jpg	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:21	1365/1365	---MCZ	200	added ('OK')	text/css	etag:W/%225e33c317-555%22	https://stylemixthemes.com/api/right-popup/popup.css	C:/My%20Web%20Sites/wordpress-2/stylemixthemes.com/api/right-popup/popup.css	(from https://consulting.stylemixthemes.com/atlanta/)
15:40:21	288332/288332	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c3fb4b7c38e2b1dfef6bcfca441ef4de%22	https://consulting.stylemixthemes.com/atlanta/feed/	C:/My%20Web%20Sites/wordpress-2/consulting.stylemixthemes.com/atlanta/feed/index.html	(from https://consulting.stylemixthemes.com/atlanta/)
